;;;;;WELDBOOK ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRM-BCA-19.370.3.OS22
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fecha: 15/03/2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Versión: 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;JUNTAS NUEVAS NO PLANEADAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;JUNTAS REALIZADA;;;;;;;;;;;;;;;;;;;;;;;;PROGRAMADAS PARA END;;;;;;;;;;;;;;;;;
  ;;;;NIVEL WBS 1;NIVEL WBS 2;;;;;;;;;;;;JUNTA REPARADA;;;;;;;;;;;;;;;;;;;;;;;;EN REVISIÓN CIE;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ID;ODS;PLANTA / UNIDAD;ESPECIALIDAD;PLANO / ISOMÉTRICO;DESCRIPCIÓN DE LÍNEA / LAZOS DE CORROSIÓN;INGENIERÍA / LÍNEA / EQUIPO;SK UT ITALCO;REV.;MATERIAL BASE 1;MATERIAL BASE 2;CLASIFI-CACIÓN META-LURGÍA;SPOOL;DESCRIPCIÓN DE JUNTA 1;DESCRIPCIÓN DE JUNTA 2;# DE JUNTA;"TALLER (T)
CAMPO (C)";"Φ
inch";SCH / THK;PROCESO SOLDA-DURA;TIPO JUNTA;MAT. DE APORTE;WPS;FECHA EJECUTADA;ESTAMPE SOLDADOR;;;;Cantidad junta soldada X SOLDADOR;;;;cantidad Pulg. Diam X SOLDADOR;;;;VT;PLP;;RX PRE PWHTX;;;UT PRE PWHT;;;PWHT;;;DUREZA;;;RX POST PWHT;;;UT POST PWHT;;;OBSERVACIONES
;;;;;;;;;;;;;;;;;;;;PROCESO DE SOLDADURA;;;;;W1;W2;W3;W4;W1;W2;W3;W4;W1;W2;W3;W4;;RESUL-TADO;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;RESULTADO;FECHA;N° INFORME;
|;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;29;U1300;ESTATICO;NA;REHERVIDOR FONDOS  T-1301;E1301;1;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;1;C; 3/4;80;GTAW;F;ER70S-6;01UT;NA;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;2;29;U1300;ESTATICO;NA;REHERVIDOR FONDOS  T-1301;E1301;1;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;2;C; 3/4;80;GTAW;F;ER70S-6;01UT;NA;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;3;29;U1300;ESTATICO;NA;REHERVIDOR FONDOS  T-1301;E1301;1;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;3;C; 3/4;80;GTAW;F;ER70S-6;01UT;NA;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;4;29;U1300;ESTATICO;NA;REHERVIDOR FONDOS  T-1301;E1301;1;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;4;C; 3/4;80;GTAW;F;ER70S-6;01UT;NA;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;5;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;FLANGE SO;NIPPLE;1;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;6;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;SA106 GRB;A105;CS;NA;NIPPLE;VALV GATE;2;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;7;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;3;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;8;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;SA106 GRB;A105;CS;NA;NIPPLE;TEE STRAIGHT;4;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;9;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;BUSHING;VALV GATE;5;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;10;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;6;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;11;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;SA106 GRB;A105;CS;NA;NIPPLE;TEE STRAIGHT;7;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;12;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;TEE STRAIGHT;NIPPLE;8;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;13;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;SA106 GRB;A105;CS;NA;NIPPLE;VALV GATE;9;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;14;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A;2;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;10;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;15;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;FLANGE SO;NIPPLE;1;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;16;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;SA106 GRB;A105;CS;NA;NIPPLE;VALV GATE;2;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;17;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;3;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;18;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;SA106 GRB;A105;CS;NA;NIPPLE;TEE STRAIGHT;4;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;19;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;BUSHING;VALV GATE;5;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;20;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;6;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;21;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;SA106 GRB;A105;CS;NA;NIPPLE;TEE STRAIGHT;7;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;22;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;TEE STRAIGHT;NIPPLE;8;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;23;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;SA106 GRB;A105;CS;NA;NIPPLE;VALV GATE;9;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;24;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310B;3;0;A105;SA106 GRB;CS;NA;VALV GATE;NIPPLE;10;C; 3/4;80;GTAW;SW;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;25;29;U1300;ESTATICO;NA;ENFRIADOR A D-1304;E1310A/B;4;0;SA106 GRB;A105;CS;NA;PIPE;FLANGE LWN;1;C; 3/4;80;GTAW;F;ER70S-6;01UT;;;;;;;;;; 3/4;;;;X;X;X;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
